Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk,Homens,Mulheres
China,3002899,[2994510.0-3011310.0],207.5,129.4,31.31,1820002,1182897
India,851678,[842746.0-860704.0],61.7,63.1,13.05,438297,413381
United States of America,612390,[610551.0-614234.0],185.0,86.3,24.28,322028,290362
Japan,420124,[418523.0-421731.0],332.2,81.5,27.06,239505,180619
Russian Federation,312122,[310699.0-313551.0],213.9,113.7,24.65,167043,145079
Brazil,259949,[258727.0-261176.0],122.3,91.2,24.31,137259,122690
Germany,252065,[250849.0-253286.0],300.9,102.3,28.63,138523,113542
Indonesia,234511,[227995.0-241213.0],85.7,85.1,18.55,124698,109813
France,185621,[184566.0-186682.0],284.4,107.9,29.16,105004,80617
United Kingdom,179648,[178625.0-180677.0],264.6,100.5,31.14,95968,83680
Italy,174759,[173770.0-175754.0],289.0,91.1,26.72,96579,78180
Turkey,126335,[125499.0-127177.0],149.8,120.4,29.88,78949,47386
Thailand,124866,[124098.0-125639.0],178.9,100.5,26.68,68087,56779
Viet Nam,122690,[120072.0-125365.0],126.0,106.0,21.50,74481,48209
Poland,119319,[118475.0-120169.0],315.3,137.5,33.58,65245,54074
Pakistan,117149,[112911.0-121546.0],53.0,74.3,15.05,60783,56366
Spain,113054,[112258.0-113856.0],241.8,90.3,25.00,67768,45286
Bangladesh,108990,[104177.0-114025.0],66.2,75.3,14.83,63541,45449
Philippines,92606,[91747.1-93473.0],84.5,100.0,27.33,47046,45560
Mexico,90222,[89520.9-90928.6],70.0,63.2,16.83,44140,46082
Egypt,89042,[86772.6-91370.8],87.0,108.6,28.24,48290,40752
Republic of Korea,88597,[87880.6-89319.3],172.8,75.5,24.74,53685,34912
Canada,86684,[85980.6-87393.2],229.7,93.5,28.26,45721,40963
Ukraine,84194,[83498.8-84895.0],192.5,102.5,19.46,47457,36737
Islamic Republic of Iran,79136,[78406.5-79872.3],94.2,94.0,28.81,46436,32700
Nigeria,78899,[74233.9-83857.3],38.3,74.8,17.39,34200,44699
Argentina,70074,[69419.5-70734.6],155.0,106.1,26.97,35742,34332
South Africa,56802,[56187.4-57423.3],95.8,111.7,26.29,27571,29231
Colombia,54987,[54439.6-55539.9],108.1,84.7,23.61,26862,28125
Romania,54486,[53935.0-55042.6],283.2,131.9,28.21,31886,22600
Myanmar,52941,[47257.0-59308.7],97.3,99.0,22.28,26370,26571
Ethiopia,51865,[49048.1-54843.7],45.1,75.3,14.69,18895,32970
The Netherlands,49008,[48462.6-49559.5],286.0,107.7,31.23,26807,22201
Australia,48236,[47708.2-48769.7],189.2,83.3,26.70,27164,21072
Democratic Republic of Korea,39963,[38090.5-41927.6],155.0,110.8,23.88,20943,19020
Morocco,35265,[34014.9-36561.1],95.5,87.9,22.27,20325,14940
Peru,34976,[34524.4-35433.5],106.1,85.5,25.25,16430,18546
Democratic Republic of Congo,34412,[29471.9-40180.2],38.4,74.9,18.07,15571,18841
Greece,33166,[32708.2-33630.2],318.2,107.2,29.53,19761,13405
Hungary,32868,[32432.6-33309.2],340.2,149.0,33.25,17391,15477
Algeria,32802,[31874.6-33756.4],74.8,76.1,19.34,17902,14900
Bolivarian Republic of Venezuela,31177,[30743.9-31616.2],109.6,95.0,25.53,15249,15928
Portugal,30168,[29747.8-30594.1],295.9,103.8,27.84,18174,11994
Belgium,30079,[29640.3-30524.2],259.5,101.3,28.35,16666,13413
Malaysia,29530,[29005.3-30064.2],91.2,87.3,22.65,15601,13929
Chile,28584,[28182.5-28991.3],149.5,87.4,26.15,15047,13537
Serbia,28107,[27696.6-28523.5],321.7,151.7,32.44,15827,12280
Czechia,27468,[27071.0-27870.9],256.5,106.2,28.05,15088,12380
Cuba,27189,[26796.5-27587.3],240.0,113.0,30.25,15857,11332
Kenya,27092,[25708.0-28550.5],50.4,103.2,22.82,10466,16626
United Republic of Tanzania,26945,[25585.8-28376.4],45.1,94.3,22.33,10798,16147
Sweden,24464,[24079.9-24854.3],242.2,87.2,27.35,12805,11659
Uganda,22992,[21938.4-24096.2],50.3,112.4,21.73,10014,12978
Austria,22495,[22130.9-22865.1],249.8,95.8,27.16,12278,10217
Belarus,21281,[20945.9-21621.4],225.2,118.0,24.86,12623,8658
Kazakhstan,20959,[20599.8-21324.5],111.6,98.5,19.91,11258,9701
Uzbekistan,20855,[20515.4-21200.2],62.3,72.4,14.69,10091,10764
Iraq,19786,[19463.6-20113.7],49.2,84.7,20.41,9418,10368
Bulgaria,19460,[19114.7-19811.5],280.1,119.7,26.85,11170,8290
Switzerland,19036,[18694.8-19383.4],220.0,83.3,25.13,10476,8560
Mozambique,18014,[16765.9-19355.1],57.6,100.4,17.46,7048,10966
Denmark,17348,[17019.1-17683.3],299.5,113.7,32.85,9227,8121
Sudan,17055,[16599.8-17522.7],38.9,63.2,16.16,7348,9707
Sri Lanka,16691,[16381.7-17006.1],77.9,57.2,10.97,8746,7945
Slovakia,16279,[15962.4-16601.8],298.2,141.3,36.33,9111,7168
Afghanistan,16018,[15310.7-16758.0],41.1,81.2,16.23,8003,8015
Ghana,15802,[14253.9-17518.2],50.9,80.6,19.00,7172,8630
Ecuador,15123,[14817.0-15435.3],85.7,76.4,23.71,7296,7827
Croatia,14326,[14036.5-14621.4],349.0,133.3,33.54,8171,6155
Madagascar,13837,[12282.5-15588.2],50.0,87.7,19.41,5811,8026
Nepal,13629,[13027.2-14258.6],46.8,54.8,13.21,6244,7385
Finland,13392,[13112.3-13677.7],241.7,84.3,25.00,7186,6206
Cameroon,13199,[12132.3-14359.4],49.7,86.6,17.02,5648,7551
Saudi Arabia,13069,[12825.1-13317.5],37.5,51.3,14.38,7693,5376
Israel,13050,[12773.1-13332.9],150.8,90.6,27.46,6789,6261
Syrian Arab Republic,12967,[10749.2-15642.4],74.1,95.6,22.81,6398,6569
Cambodia,12638,[11281.1-14158.1],75.6,97.0,21.95,6481,6157
Angola,12599,[11626.8-13652.5],38.3,86.5,20.37,5685,6914
Malawi,12454,[11443.7-13553.5],65.1,113.4,18.25,4679,7775
Singapore,12130,[11812.7-12455.8],207.3,111.5,32.58,7003,5127
Dominican Republic,12107,[11790.0-12432.5],111.6,99.6,28.28,6383,5724
Yemen,12103,[11032.5-13277.3],40.6,76.5,19.64,5667,6436
Norway,11980,[11709.9-12256.3],221.0,91.7,28.74,6391,5589
Tunisia,11855,[11404.5-12323.3],100.3,78.7,22.95,7279,4576
Côte d'Ivoire,11760,[11127.6-12428.3],44.6,88.0,22.47,5220,6540
Zimbabwe,10676,[10162.9-11215.0],71.8,139.4,34.61,3946,6730
New Zealand,10508,[10257.2-10764.9],217.9,99.0,29.55,5582,4926
Azerbaijan,10466,[10156.5-10785.0],103.2,91.3,22.16,5730,4736
Ireland,10385,[10138.9-10637.1],210.3,104.9,32.57,5487,4898
Mali,10234,[9540.9-10977.4],50.5,107.5,21.86,3927,6307
Plurinational State of Bolivia,9935,[9550.6-10334.9],85.1,82.2,21.21,4492,5443
Guatemala,9609,[9367.2-9857.1],53.6,70.7,19.30,4402,5207
Haiti,9245,[8934.4-9566.4],81.1,104.0,34.65,4608,4637
